postalcode,borough,dIstrIct,Latitude,Longitude
34010,ZEYTINBURNU,TOPKAPI,41.01956000000007,28.911447810000027
34015,ZEYTINBURNU,SEYITNIZAM,41.01076500000005,28.911920224000028
34020,ZEYTINBURNU,TELSIZ,40.99210377000003,28.905205000000024
34022,BESIKTAS,ABBASAGA,41.04651918900004,29.006215000000054
34025,ZEYTINBURNU,CIRPICI,40.99265021700006,28.897785000000056
34030,BAYRAMPASA,NUMUNEBAG,41.03996311600008,28.913460000000043
34035,BAYRAMPASA,ALTINTEPSI,41.03663000000006,28.89812087400003
34040,BAYRAMPASA,MURATPASA,41.05065411600003,28.902860000000032
34045,BAYRAMPASA,YILDIRIM,41.05792771600005,28.89088000000004
34050,EYUPSULTAN,EYUP,41.04432710100008,28.934055000000058
34055,EYUPSULTAN,RAMI,41.040310367000075,28.92355500000008
34060,EYUPSULTAN,ALIBEYKOY,41.09052500000007,28.950778832000026
34065,EYUPSULTAN,YESILPINAR,41.074110000000076,28.931961795000063
34070,EYUPSULTAN,CIRCIR,41.085320000000024,28.928972187000056
34075,EYUPSULTAN,KEMERBURGAZ,41.16489973100005,28.93219000000005
34076,EYUPSULTAN,ISIKLAR,41.25197445100008,28.85994500000004
34077,EYUPSULTAN,GOKTURK,41.186125582000045,28.876790000000028
34080,FATIH,ISKENDERPASA,41.01573500000006,28.947475456000063
34083,FATIH,ZEYREK,41.02284000000003,28.954061163000063
34087,FATIH,BALAT,41.031573157000025,28.94446000000005
34091,FATIH,KARAGUMRUK,41.024335000000065,28.935905972000057
34093,FATIH,TOPKAPI,41.01718500000004,28.934965700000078
34096,FATIH,AKSARAY,41.006065000000035,28.947859365000056
34098,FATIH,KOCAMUSTAFAPASA,41.003055000000074,28.937915893000024
34104,FATIH,SEHREMINI,41.01284000000004,28.929626153000072
34107,FATIH,YEDIKULE,40.99797321500006,28.925920000000076
34110,FATIH,EMINONU,41.01280000000003,28.977065571000026
34112,FATIH,SIRKECI,41.01502987900005,28.97404000000006
34116,FATIH,TAHTAKALE,41.01516000000004,28.96637909100008
34120,FATIH,MAHMUTPASA,41.011560658000064,28.97112500000003
34122,FATIH,SULTANAHMET,41.00865500000003,28.98275620800007
34126,FATIH,BAYAZIT,41.00716625300004,28.967210000000023
34130,FATIH,KUMKAPI,41.00527500000004,28.958965570000032
34134,FATIH,VEFA,41.017592766000064,28.961115000000063
34140,BAKIRKOY,ZEYTINLIK,40.97794855500007,28.87303000000003
34142,BAKIRKOY,CEVIZLIK,40.97827500000005,28.880700258000047
34145,BAKIRKOY,KARTALTEPE,40.986501012000076,28.87687500000004
34146,BAKIRKOY,OSMANIYE,40.99208500000003,28.884655517000056
34147,BAKIRKOY,ZUHURATBABA,40.988635000000045,28.86201552600005
34149,BAKIRKOY,YESILKOY,40.97763000000003,28.823052294000036
34153,BAKIRKOY,FLORYA,40.97580500000004,28.790977144000067
34158,BAKIRKOY,ATAKOY,40.980905000000064,28.85432231200008
34160,GUNGOREN,AKINCILAR,41.01419000000004,28.870666825000058
34164,GUNGOREN,GUNGOREN,41.02345500000007,28.87025575800004
34165,GUNGOREN,SANAYI,41.02733000000006,28.88132090600004
34173,GUNGOREN,TOZKOPARAN,41.01090000000005,28.889478276000034
34180,BAHCELIEVLER,BAHCELIEVLER,41.00671500000004,28.858678226000052
34188,BAHCELIEVLER,SIRINEVLER,41.00703594600003,28.84025500000007
34197,BAHCELIEVLER,YENIBOSNA,41.01003500000007,28.824150162000024
34200,BAGCILAR,BAGCILAR,41.034046045000025,28.85355500000003
34212,BAGCILAR,GUNESLI,41.033160000000066,28.829169627000056
34218,BAGCILAR,MAHMUTBEY,41.05747500000007,28.832732159000045
34220,ESENLER,ESENLER,41.03417500000006,28.88583197400004
34225,ESENLER,KARABAYIR,41.04667000000006,28.873175469000046
34230,ESENLER,ATISALANI,41.05482000000006,28.87475856100008
34235,ESENLER,SANAYI,41.08887258400006,28.84890500000006
34240,GAZIOSMANPASA,YILDIZTABYA,41.062095000000056,28.928290197000024
34245,GAZIOSMANPASA,GAZIOSMANPASA,41.06062000000003,28.91303448000008
34250,GAZIOSMANPASA,KUCUKKOY,41.07491500000003,28.89427273800004
34255,GAZIOSMANPASA,MEVLANA,41.08168000000006,28.909200251000073
34260,SULTANGAZI,ZUBEYDEHANIM,41.106364590000055,28.905665000000056
34265,SULTANGAZI,SULTANCIFTLIGI,41.099905000000035,28.872958399000026
34270,SULTANGAZI,SULTANGAZI,41.13115000000005,28.861178000000052
34275,ARNAVUTKOY,ARNAVUTKOY,41.208601017000035,28.73661500000003
34277,ARNAVUTKOY,BAKLALI,41.26109500000007,28.658919613000023
34281,ARNAVUTKOY,HARACCI,41.18495500000006,28.70739764600006
34283,ARNAVUTKOY,TASOLUK,41.20174322200006,28.717750000000024
34285,ARNAVUTKOY,BOGAZKOY,41.18009500000005,28.786301974000025
34287,ARNAVUTKOY,BOLLUCA,41.22155500000008,28.778611074000025
34290,KUCUKCEKMECE,KUCUKCEKMECE,41.000270697000076,28.77422000000007
34295,KUCUKCEKMECE,SEFAKOY,41.014338929000075,28.801550000000077
34303,KUCUKCEKMECE,HALKALI,41.03642000000008,28.792706115000044
34307,KUCUKCEKMECE,ATAKENT,41.04816000000005,28.783193143000062
34310,AVCILAR,AVCILAR,40.98993000000007,28.70136887800004
34315,AVCILAR,AMBARLI,40.97555500000004,28.722714905000032
34320,AVCILAR,GUMUSPALA,41.06557843100006,28.716380000000072
34325,AVCILAR,FIRUZKOY,41.02659066200005,28.703410000000076
34330,BESIKTAS,LEVENT,41.08832330900003,29.018705000000068
34335,BESIKTAS,AKATLAR,41.08553186100005,29.026815000000056
34337,BESIKTAS,ETILER,41.08526965300007,29.035540000000026
34340,BESIKTAS,LEVAZIM,41.06946087600005,29.026665000000037
34342,BESIKTAS,BEBEK,41.07805500000006,29.040031120000037
34345,BESIKTAS,ARNAVUTKOY,41.06643987900003,29.038145000000043
34347,BESIKTAS,ORTAKOY,41.05430731100006,29.02637500000003
34349,BESIKTAS,GAYRETTEPE,41.054805000000044,29.010390914000027
34357,BESIKTAS,TURKALI,41.043953610000074,28.998620000000074
34363,SISLI,MESRUTIYET,41.058204352000075,28.99205500000005
34365,SISLI,TESVIKIYE,41.052040000000034,28.996744383000078
34367,SISLI,HARBIYE,41.045556660000045,28.991775000000075
34371,SISLI,HALASKARGAZI,41.05161252200003,28.989315000000033
34373,SISLI,PANGALTI,41.04381840900004,28.98419000000007
34375,SISLI,BOZKURT,41.04757373500007,28.982695000000035
34377,SISLI,FERIKOY,41.04849000000007,28.977091848000043
34379,SISLI,DUATEPE,41.05225000000007,28.972891506000053
34380,SISLI,CUMHURIYET,41.05559500000004,28.982146114000045
34381,SISLI,MECIDIYEKOY,41.07228500000008,28.99360000000007
34384,SISLI,OKMEYDANI,41.06285763300008,28.979070000000036
34394,SISLI,ESENTEPE,41.07031000000006,29.007345789000055
34400,KAGITHANE,GURSEL,41.06520000000006,28.96425561700005
34403,KAGITHANE,CAGLAYAN,41.07488513700008,28.981495000000052
34406,KAGITHANE,KAGITHANE MERKEZ,41.07865744000003,28.965045000000032
34408,KAGITHANE,HAMIDIYE,41.09912000000003,28.96892881800005
34410,KAGITHANE,GULTEPE,41.08139700000004,28.992030000000057
34413,KAGITHANE,CELIKTEPE,41.08085923900006,29.00098500000007
34415,KAGITHANE,SIRINTEPE,41.089980000000025,28.996742235000056
34418,KAGITHANE,SEYRANTEPE,41.095515000000034,28.987484769000048
34421,BEYOGLU,ARAPCAMI,41.025630000000035,28.97171473700007
34425,BEYOGLU,KEMANKES,41.02664500000003,28.978206955000076
34427,BEYOGLU,PURTELAS,41.03406603600007,28.990485000000035
34430,BEYOGLU,ISTIKLAL,41.03108000000003,28.972902568000052
34433,BEYOGLU,CIHANGIR,41.033478159000026,28.981720000000053
34435,BEYOGLU,TARLABASI,41.03879000000006,28.97789000000006
34437,BEYOGLU,TAKSIM,41.03730000000007,28.988279299000055
34440,BEYOGLU,KASIMPASA,41.04056466000003,28.964485000000025
34445,BEYOGLU,HALICIOGLU,41.05092730800004,28.949940000000026
34450,SARIYER,SARIYER,41.209610000000055,29.04206801600003
34453,SARIYER,BUYUKDERE,41.158960000000036,29.01171369000008
34457,SARIYER,TARABYA,41.133890000000065,29.043832559000066
34460,SARIYER,ISTINYE,41.11771500000003,29.042851890000065
34464,SARIYER,YENIKOY,41.12192500000003,29.060311463000062
34467,SARIYER,EMIRGAN,41.10475500000007,29.036350500000026
34470,SARIYER,RUMELIHISARI,41.09159500000004,29.04580905000006
34473,SARIYER,BAHCEKOY,41.17832722400004,28.984165000000075
34480,BASAKSEHIR,BASAKSEHIR,41.10895500000004,28.797501600000032
34485,SARIYER,MASLAK,41.12232000000006,28.991757592000056
34488,BASAKSEHIR,BAHCESEHIR,41.09074343900005,28.678305000000023
34490,BASAKSEHIR,IKITELLI,41.08149000000003,28.793679491000034
34492,BASAKSEHIR,SAMLAR,41.141678144000025,28.752560000000074
34494,BASAKSEHIR,ALTINSEHIR,41.09040537900006,28.74574000000007
34500,BUYUKCEKMECE,BUYUKCEKMECE,41.068283902000076,28.595090000000027
34510,ESENYURT,INCIRTEPE,41.04085412500007,28.683430000000044
34513,ESENYURT,SAADETDERE,41.015220673000044,28.684765000000027
34515,ESENYURT,MEHTERCESME,41.019535000000076,28.658050787000036
34517,ESENYURT,ESENYURT,41.04424215100005,28.663790000000063
34520,BEYLIKDUZU,BEYLIKDUZU,40.99231401600008,28.647515000000055
34522,ESENYURT,KIRAC,41.04793866700004,28.641740000000027
34524,BEYLIKDUZU,YAKUPLU,40.983725966000065,28.66635000000008
34528,BEYLIKDUZU,GURPINAR,40.981776609000065,28.619575000000054
34530,BUYUKCEKMECE,KUMBURGAZ,41.02049000000005,28.497423026000035
34534,BUYUKCEKMECE,CELALIYE,41.058790000000045,28.436046504000046
34535,BUYUKCEKMECE,MIMARSINAN,41.01026125000004,28.54658500000005
34537,BUYUKCEKMECE,TEPECIK,41.04813123400004,28.51949759300004
34538,ESENYURT,SANAYI,41.07751770300007,28.652160000000038
34540,CATALCA,CATALCA,41.32010500000007,28.397518561000027
34555,ARNAVUTKOY,HADIMKOY,41.13879000000003,28.61487572200008
34570,SILIVRI,SILIVRI,41.10069000000004,28.225527500000055
34580,SILIVRI,CANTA,41.11067005600006,28.072925000000055
34582,SILIVRI,FENER,41.19098500000007,28.16404649900005
34586,SILIVRI,DEGIRMENKOY,41.130184291000035,28.021585000000073
34588,SILIVRI,GUMUSYAKA,41.060020000000065,28.031449483000074
34590,SILIVRI,SELIMPASA,41.066685000000064,28.35595677200007
34592,SILIVRI,ORTAKOY,41.17983044600004,28.33838000000003
34594,SILIVRI,BUYUKCAVUSLU,41.26257500000003,28.15086708900003
34596,SILIVRI,KAVAKLI,41.09645000000006,28.332452571000033
34660,USKUDAR,ACIBADEM,41.008371717000045,29.054110000000037
34662,USKUDAR,ALTUNIZADE,41.016755000000046,29.041776086000027
34664,USKUDAR,MURATREIS,41.02162497900008,29.028200000000027
34668,USKUDAR,SELIMIYE,41.00839965400007,29.01792000000006
34672,USKUDAR,MIMARSINAN,41.02219000000008,29.01585690400003
34674,USKUDAR,KUZGUNCUK,41.03180500000008,29.03354089100003
34676,USKUDAR,BEYLERBEYI,41.03531219900003,29.05088500000005
34680,USKUDAR,CENGELKOY,41.04936500000008,29.064435256000024
34682,USKUDAR,KIRAZLITEPE,41.03948500000007,29.061616084000036
34684,USKUDAR,KANDILLI,41.06617000000006,29.06717799100005
34688,USKUDAR,BAHCELIEVLER,41.05119156100005,29.079260000000033
34690,USKUDAR,YAVUZTURK,41.04300289200006,29.085005000000024
34692,USKUDAR,FERAH,41.02903439600004,29.07213500000006
34696,USKUDAR,BULGURLU,41.01476000000008,29.067385526000066
34697,USKUDAR,CUMHURIYET,41.01040000000006,29.081827153000063
34700,USKUDAR,UNALAN,41.00048000000004,29.06576040500005
34704,ATASEHIR,ORNEK,40.99959383400005,29.08167000000003
34707,ATASEHIR,MUSTAFAKEMAL,41.001720000000034,29.094900344000052
34710,KADIKOY,CAFERAGA,40.98602500000004,29.025367825000046
34714,KADIKOY,OSMANAGA,40.98936942500006,29.029490000000067
34716,KADIKOY,RASIMPASA,40.99688500000008,29.02504163100008
34718,KADIKOY,KOSUYOLU,41.00270500000005,29.038117955000075
34720,KADIKOY,FIKIRTEPE,40.99288000000007,29.049556039000038
34722,KADIKOY,EGITIM,40.992801876000044,29.04635040900007
34724,KADIKOY,FENERYOLU,40.98381000000006,29.046578649000026
34726,KADIKOY,FENERBAHCE,40.974465000000066,29.045634567000036
34728,KADIKOY,CADDEBOSTAN,40.967025000000035,29.06354293800007
34730,KADIKOY,GOZTEPE,40.977190000000064,29.061911421000048
34732,KADIKOY,MERDIVENKOY,40.987655000000075,29.069153854000035
34734,KADIKOY,SAHRAYICEDIT,40.983325000000036,29.08492472200004
34736,KADIKOY,ONDOKUZMAYIS,40.97520879500007,29.08917500000007
34738,KADIKOY,ERENKOY,40.97313989700007,29.07544500000006
34740,KADIKOY,SUADIYE,40.96061000000003,29.081897957000024
34742,KADIKOY,KOZYATAGI,40.96926000000008,29.095801702000074
34744,KADIKOY,BOSTANCI,40.95837000000006,29.098264966000045
34746,ATASEHIR,YENISAHRA,40.99228000000005,29.099334273000068
34750,ATASEHIR,KUCUKBAKKALKOY,40.983220000000074,29.117810828000074
34752,ATASEHIR,ICERENKOY,40.97068500000006,29.112430500000073
34755,ATASEHIR,KAYISDAGI,40.97960500000005,29.143703938000044
34758,ATASEHIR,ATATURK,40.98964500000005,29.128637914000024
34760,UMRANIYE,ATAKENT,41.01107719200007,29.109635000000026
34762,UMRANIYE,NAMIKKEMAL,41.016440000000046,29.09434454500007
34764,UMRANIYE,ATATURK,41.033797969000034,29.091950000000054
34766,UMRANIYE,KAZIMKARABEKIR,41.05001000000004,29.09945300100003
34768,UMRANIYE,INKILAP,41.032848827000066,29.10889000000003
34771,UMRANIYE,IHLAMURKUYU,41.03031408100003,29.13602000000003
34773,UMRANIYE,ASAGIDUDULLU,41.024080000000026,29.163840434000065
34774,UMRANIYE,CAKMAK,41.00860000000006,29.13156157700007
34775,UMRANIYE,YUKARIDUDULLU,41.005288058000076,29.150645000000054
34776,UMRANIYE,ESENSEHIR,41.004201572000056,29.174630722000074
34779,ATASEHIR,YENICAMLICA,40.98813000000007,29.157360952000033
34782,CEKMEKOY,CEKMEKOY,41.03544500000004,29.18557493900005
34785,SANCAKTEPE,SARIGAZI,41.00373500000006,29.208296017000066
34788,CEKMEKOY,TASDELEN,41.027079239000045,29.22127000000006
34791,SANCAKTEPE,YENIDOGAN,41.026350000000036,29.297447797000075
34794,CEKMEKOY,ALEMDAG,41.048335000000066,29.254419728000073
34799,CEKMEKOY,OMERLI,41.08110000000005,29.272450840000033
34800,BEYKOZ,PASABAHCE,41.110790000000065,29.11178263200003
34805,BEYKOZ,CUBUKLU,41.09519000000006,29.098143609000033
34810,BEYKOZ,ANADOLUHISARI,41.09309500000006,29.080503289000035
34815,BEYKOZ,GOKSU,41.07526000000007,29.086321458000043
34820,BEYKOZ,BEYKOZ,41.133030000000076,29.11037182700005
34825,BEYKOZ,TOKATKOY,41.15478000000007,29.128303766000045
34829,BEYKOZ,POLONEZKOY,41.15090802800006,29.198875000000044
34830,BEYKOZ,CAVUSBASI,41.07557000000003,29.15378684700005
34840,MALTEPE,KUCUKYALI,40.950825000000066,29.10826480600008
34841,MALTEPE,IDEALTEPE,40.94025000000005,29.116532122000024
34843,MALTEPE,FEYZULLAH,40.933035000000075,29.127339291000055
34844,MALTEPE,YALI,40.92131000000006,29.131097672000067
34846,MALTEPE,CEVIZLI,40.91875500000003,29.15479460800003
34848,MALTEPE,GULSUYU,40.932155858000044,29.165540000000078
34852,MALTEPE,ZUMRUTEVLER,40.95225000000005,29.14440840000003
34854,MALTEPE,AYDINEVLER,40.95901491400008,29.14520146600006
34858,MALTEPE,BUYUKBAKKALKOY,40.95018227800006,29.192815000000053
34860,KARTAL,KARTAL,40.89070000000004,29.184164362000047
34862,KARTAL,ATALAR,40.899140000000045,29.17708718700004
34865,KARTAL,ORHANTEPE,40.90821500000004,29.153869643000064
34870,KARTAL,ESENTEPE,40.90113500000007,29.195075905000067
34873,KARTAL,TOPSELVI,40.89378000000005,29.210023758000034
34876,KARTAL,YAKACIK,40.91142585400007,29.240845000000036
34880,KARTAL,SOGANLIK,40.91701500000005,29.195436865000033
34882,KARTAL,UGUR MUMCU,40.94259905700005,29.23118000000005
34885,SANCAKTEPE,EYUPSULTAN,40.97160150500008,29.22148500000003
34887,SANCAKTEPE,OSMANGAZI,40.99164500000006,29.239603275000036
34888,ATASEHIR,FERHATPASA,40.98312500000003,29.184964045000072
34890,PENDIK,CARSI,40.87250500000005,29.255730526000036
34893,PENDIK,BAHCELIEVLER,40.88852500000007,29.228563890000032
34896,PENDIK,CINARDERE,40.90202084400005,29.250005000000044
34899,PENDIK,CAMCESME,40.87921000000006,29.276878258000067
34903,PENDIK,ESENYALI,40.86525000000006,29.296978333000027
34906,PENDIK,SEYHLI,40.902450000000044,29.301436773000034
34909,PENDIK,YAYALAR,40.91450500000008,29.27079949700004
34912,PENDIK,YENISEHIR,40.92804000000007,29.30257322400007
34916,PENDIK,KURNA,40.99370000000005,29.434208906000038
34920,SULTANBEYLI,MEHMETAKIF,40.96050500000007,29.266636121000033
34925,SULTANBEYLI,NECIPFAZIL,40.94577000000004,29.287831742000037
34930,SULTANBEYLI,TURGUTREIS,40.96329000000003,29.292552839000052
34935,SULTANBEYLI,MIMARSINAN,40.98803000000004,29.271387951000065
34940,TUZLA,CARSI,40.82004500000005,29.310444628000027
34944,TUZLA,TERSANELER,40.836385000000064,29.30099842900006
34947,TUZLA,ICMELER,40.851845000000026,29.303588011000045
34950,TUZLA,MIMARSINAN,40.83073219500005,29.35749500000003
34953,TUZLA,AYDINLI,40.862810000000025,29.340962869000066
34956,TUZLA,ORHANLI,40.90140000000008,29.356487757000025
34959,TUZLA,AKFIRAT,40.92458568700005,29.405085000000042
34970,ADALAR,BUYUKADA,40.85567453200008,29.123215000000073
34973,ADALAR,HEYBELIADA,40.87615000000005,29.090943251000056
34975,ADALAR,BURGAZADA,40.88022500000005,29.061974079000038
34977,ADALAR,KINALIADA,40.90841000000006,29.048495571000046
34980,SILE,SILE,41.166795000000036,29.622191094000073
34983,SILE,AHMETLI,41.089015000000074,29.481042279000064
34990,SILE,AGVA,41.08535000000006,29.81649500000003
